condition,cellId,mean_speed,max_speed,std_speed,total_displacement,trajectory_length,mean_area,std_area,mean_volume,std_volume,residence_time,lateral_migration
Diabetes,49,0.017563351209782762,0.02288548787506111,0.004048197748716851,1.0611505386932621e-05,1.0749902226869712e-05,1.2804124193548388e-10,1.3530988318317298e-12,8.17306258064516e-17,2.7454102141185297e-19,62,1.2409999999999937e-07
Diabetes,54,0.015114864183279389,0.019314930650305217,0.002658116331804287,1.9360689662419053e-05,1.9526043043435226e-05,1.4782652307692305e-10,1.652610504870578e-11,8.215872076923076e-17,4.1024797543466433e-19,130,1.4238999999999983e-07
Diabetes,56,0.008034722735784825,0.011834752568043066,0.0017924484532858501,1.3149069921180739e-05,1.3492009926147327e-05,1.5729347647058824e-10,3.285905653462371e-11,8.277917176470589e-17,6.457501369993949e-19,170,1.356999999999994e-07
Diabetes,72,0.008917962300821206,0.013666758635329335,0.0021553268653308503,6.839338294016462e-06,7.1315390036489504e-06,1.3314133333333332e-10,1.1160716937096828e-11,8.219289259259259e-17,5.57666559598516e-19,81,4.93999999999999e-08
Diabetes,79,0.010672960764125296,0.013875534172998206,0.0022072762004115357,6.907343686975478e-06,7.12295222543082e-06,1.3437539705882353e-10,5.8690366473851095e-12,8.228667647058823e-17,6.184147874112085e-19,68,4.109999999999864e-08
Diabetes,80,0.015792283744086432,0.020363312772883224,0.0026201811032436064,2.1062552097502335e-05,2.1274195146020162e-05,1.373264411764706e-10,1.2248679987997319e-11,8.231717573529412e-17,5.430186516810723e-19,136,1.8139999999999965e-07
Diabetes,95,0.014455240192423783,0.017676417372448527,0.0021254372903880413,2.2689120155263847e-05,2.2883493055533235e-05,1.498980875e-10,1.966579151545654e-11,8.2523310625e-17,5.890334286567093e-19,160,1.3200000000000145e-07
Diabetes,100,0.018621423217103802,0.022841963504219204,0.0025944826608404934,3.244921256918263e-05,3.253760650063966e-05,1.608515965909091e-10,2.319916870239202e-11,8.280513806818182e-17,7.217758181237767e-19,176,1.887000000000004e-07
Diabetes,112,0.01594545079753042,0.019504666514433475,0.0023357645883984495,2.041960975777941e-05,2.0518586847321273e-05,1.5218983846153847e-10,2.127120628572042e-11,8.298586538461538e-17,9.503855039702714e-19,130,1.6329999999999893e-07
Diabetes,119,0.019660756070763168,0.024361116220178173,0.0033727256566677727,2.4211011475153207e-05,2.4263447050865278e-05,1.2975954399999997e-10,2.348370534949575e-12,8.267898640000001e-17,8.471463199913212e-19,125,1.8529999999999973e-07
